,file_name,Model,Dataclass,Results Testset.accuracy_test,Results Testset.accuracy_train,Results Testset.accuracy_eval,Results Testset.F1_test,Results Testset.MCC_test,Results Testset.precision_test,Results Testset.recall_test,Config.LEARNING_RATE
49,0006.json,LSTM_v1,TweetXPriceY,,,,,,,,0.000201014244520771
50,0001.json,LSTM_v1,TweetXPriceY,,,,,,,,5.625529121655774e-06
51,0008.json,LSTM_v1,TweetXPriceY,,,,,,,,7.121949736714675e-05
52,0002.json,LSTM_v1,TweetXPriceY,,,,,,,,0.00029848205472475883
53,0004.json,LSTM_v1,TweetXPriceY,,,,,,,,5.671812358091724e-06
54,0003.json,LSTM_v1,TweetXPriceY,,,,,,,,0.00018737686485616198
55,0000.json,LSTM_v1,TweetXPriceY,,,,,,,,5e-05
56,0005.json,LSTM_v1,TweetXPriceY,,,,,,,,0.00014636012078327078
57,0009.json,LSTM_v1,TweetXPriceY,,,,,,,,0.00017840775630026403
58,0012.json,LSTM_v1,TweetXPriceY,,,,,,,,4.594705795749415e-06
59,0007.json,LSTM_v1,TweetXPriceY,,,,,,,,0.0009879263520148262
70,0001.json,RNN_simple,TweetXPriceY,,,,,,,,0.001
71,0002.json,RNN_simple,TweetXPriceY,,,,,,,,0.001
72,0004.json,RNN_simple,TweetXPriceY,,,,,,,,5e-05
73,0003.json,RNN_simple,TweetXPriceY,,,,,,,,0.001
74,0000.json,RNN_simple,TweetXPriceY,,,,,,,,0.001
97,0010.json,LSTM_v1,TweetXPriceY,,,,,,,,4.043724521652377e-05
98,0011.json,LSTM_v1,TweetXPriceY,,,,,,,,2.6140313957025542e-05
99,0006.json,LSTM_v1,TweetXPriceY,,,,,,,,7.271898862640799e-06
100,0001.json,LSTM_v1,TweetXPriceY,,,,,,,,0.00021708376536366288
101,0017.json,LSTM_v1,TweetXPriceY,,,,,,,,0.0004797453472366326
102,0008.json,LSTM_v1,TweetXPriceY,,,,,,,,0.00018697529837694466
103,0002.json,LSTM_v1,TweetXPriceY,,,,,,,,2.086716284692144e-06
104,0018.json,LSTM_v1,TweetXPriceY,,,,,,,,1.544940496392612e-05
105,0004.json,LSTM_v1,TweetXPriceY,,,,,,,,0.00013821985277071488
106,0019.json,LSTM_v1,TweetXPriceY,,,,,,,,5.991726817800877e-05
107,0016.json,LSTM_v1,TweetXPriceY,,,,,,,,1.5564713797503992e-05
108,0003.json,LSTM_v1,TweetXPriceY,,,,,,,,0.00017453056916641945
109,0000.json,LSTM_v1,TweetXPriceY,,,,,,,,1.2139001516496202e-06
110,0005.json,LSTM_v1,TweetXPriceY,,,,,,,,8.032043504130772e-06
111,0009.json,LSTM_v1,TweetXPriceY,,,,,,,,1.1980128691889362e-06
112,0012.json,LSTM_v1,TweetXPriceY,,,,,,,,6.176309979583137e-06
113,0015.json,LSTM_v1,TweetXPriceY,,,,,,,,7.508263022349329e-05
114,0007.json,LSTM_v1,TweetXPriceY,,,,,,,,3.923533906968542e-05
115,0013.json,LSTM_v1,TweetXPriceY,,,,,,,,4.937774355615457e-05
116,0014.json,LSTM_v1,TweetXPriceY,,,,,,,,6.370412543402104e-05
